       p         nwds        bytes        nloop         RTT (s)
       0        12212        97696           20    4.105130e-05
       0        12408        99264           20    4.184735e-05
       0        12607       100856           20    4.262530e-05
       0        12809       102472           20    4.294840e-05
       0        13014       104112           20    4.329205e-05
       0        13223       105784           20    4.361465e-05
       0        13435       107480           20    4.456845e-05
       0        13650       109200           20    4.487955e-05
       0        13869       110952           20    4.562695e-05
       0        14091       112728           20    4.625260e-05
       0        14317       114536           20    4.699350e-05
       0        14547       116376           20    4.754610e-05
       0        14780       118240           20    4.785215e-05
       0        15017       120136           20    4.876235e-05
       0        15258       122064           20    4.893770e-05
       0        15503       124024           20    5.023210e-05
       0        15752       126016           20    5.013045e-05
       0        16005       128040           20    5.348430e-05
       0        16262       130096           20    5.214775e-05
       0        16523       132184           20    5.212920e-05
       0        16788       134304           20    5.265420e-05
       0        17057       136456           20    5.349025e-05
       0        17330       138640           20    5.618280e-05
       0        17608       140864           20    5.579360e-05
       0        17890       143120           20    5.595390e-05
       0        18177       145416           20    5.731950e-05
       0        18468       147744           20    5.808090e-05
       0        18764       150112           20    5.876870e-05
       0        19065       152520           20    5.992440e-05
       0        19371       154968           20    6.072190e-05
       0        19681       157448           20    6.056960e-05
       0        19996       159968           20    6.109960e-05
       0        20316       162528           20    6.212505e-05
       0        20642       165136           20    6.262050e-05
       0        20973       167784           20    6.320810e-05
       0        21309       170472           20    6.427005e-05
       0        21650       173200           20    6.499095e-05
       0        21997       175976           20    6.583600e-05
       0        22349       178792           20    6.699420e-05
       0        22707       181656           20    6.761085e-05
       0        23071       184568           20    6.866735e-05
       0        23441       187528           20    6.969480e-05
       0        23817       190536           20    7.054995e-05
       0        24199       193592           20    7.148270e-05
       0        24587       196696           20    7.256320e-05
       0        24981       199848           20    7.333365e-05
       0        25381       203048           20    7.443125e-05
       0        25788       206304           20    7.516110e-05
       0        26201       209608           20    7.639990e-05
       0        26621       212968           20    7.735070e-05
       0        27047       216376           20    7.910355e-05
       0        27480       219840           20    7.957540e-05
       0        27920       223360           20    8.039695e-05
       0        28367       226936           20    8.208760e-05
       0        28821       230568           20    8.298785e-05
       0        29283       234264           20    8.674790e-05
       0        29752       238016           20    8.535125e-05
       0        30229       241832           20    8.655805e-05
       0        30713       245704           20    8.749585e-05
       0        31205       249640           20    8.904375e-05
       0        31705       253640           20    9.052655e-05
       0        32213       257704           20    3.076845e-05
       0        32729       261832           20    3.108860e-05
       0        33253       266024           20    3.170320e-05
       0        33786       270288           20    3.148330e-05
       0        34327       274616           20    3.177185e-05
       0        34877       279016           20    3.213250e-05
       0        35436       283488           20    3.226380e-05
       0        36003       288024           20    3.251875e-05
       0        36580       292640           20    3.294605e-05
       0        37166       297328           20    3.354320e-05
       0        37761       302088           20    3.371900e-05
       0        38366       306928           20    3.430760e-05
       0        38980       311840           20    3.482510e-05
       0        39604       316832           20    3.537315e-05
       0        40238       321904           20    3.581845e-05
       0        40882       327056           20    3.626485e-05
       0        41537       332296           20    3.684290e-05
       0        42202       337616           20    3.720910e-05
       0        42878       343024           20    3.763690e-05
       0        43565       348520           20    3.756025e-05
       0        44263       354104           20    3.809675e-05
       0        44972       359776           20    3.824755e-05
       0        45692       365536           20    3.879810e-05
       0        46424       371392           20    3.945335e-05
       0        47167       377336           20    3.970230e-05
       0        47922       383376           20    4.020175e-05
       0        48689       389512           20    4.241140e-05
       0        49469       395752           20    4.246800e-05
       0        50261       402088           20    4.247550e-05
       0        51066       408528           20    4.322690e-05
       0        51884       415072           20    4.338725e-05
       0        52715       421720           20    4.384110e-05
       0        53559       428472           20    4.462160e-05
       0        54416       435328           20    4.489005e-05
       0        55287       442296           20    4.557185e-05
       0        56172       449376           20    4.559285e-05
       0        57071       456568           20    4.607580e-05
       0        57985       463880           20    4.681370e-05
       0        58913       471304           20    4.782960e-05
       0        59856       478848           20    4.814420e-05
       0        60814       486512           20    4.960845e-05
       0        61788       494304           20    5.065095e-05
       0        62777       502216           20    5.065690e-05
       0        63782       510256           20    5.139635e-05
       0        64803       518424           20    5.135875e-05
       0        65840       526720           20    5.192330e-05
       0        66894       535152           20    5.286255e-05
       0        67965       543720           20    5.379835e-05
       0        69053       552424           20    5.473860e-05
       0        70158       561264           20    5.535930e-05
       0        71281       570248           20    5.605510e-05
       0        72422       579376           20    5.671585e-05
       0        73581       588648           20    5.734950e-05
       0        74759       598072           20    5.796770e-05
       0        75956       607648           20    5.890245e-05
       0        77172       617376           20    5.926560e-05
       0        78407       627256           20    6.045290e-05
       0        79662       637296           20    6.138810e-05
       0        80937       647496           20    6.217615e-05
       0        82233       657864           20    6.535560e-05
       0        83549       668392           20    6.369300e-05
       0        84886       679088           20    6.446045e-05
       0        86245       689960           20    6.511870e-05
       0        87625       701000           20    6.627385e-05
       0        89028       712224           20    6.759635e-05
       0        90453       723624           20    6.809475e-05
       0        91901       735208           20    6.899300e-05
       0        93372       746976           20    6.983355e-05
       0        94866       758928           20    7.110090e-05
       0        96384       771072           20    7.187890e-05
       0        97927       783416           20    7.334315e-05
       0        99494       795952           20    7.443975e-05
       0       101086       808688           20    7.542155e-05
       1            1            8         1000    2.290014e-06
       1            2           16         1000    2.279885e-06
       1            3           24         1000    3.046769e-06
       1            4           32         1000    2.888882e-06
       1            5           40         1000    2.923587e-06
       1            6           48         1000    2.927274e-06
       1            7           56         1000    3.489614e-06
       1            8           64         1000    3.556760e-06
       1            9           72         1000    3.532785e-06
       1           10           80         1000    3.478142e-06
       1           11           88         1000    3.533517e-06
       1           12           96         1000    3.536241e-06
       1           13          104         1000    3.636360e-06
       1           14          112         1000    3.588960e-06
       1           15          120         1000    3.548143e-06
       1           16          128         1000    3.552262e-06
       1           17          136         1000    3.581937e-06
       1           18          144         1000    3.598478e-06
       1           19          152         1000    3.633745e-06
       1           20          160         1000    3.692627e-06
       1           21          168         1000    3.692636e-06
       1           22          176         1000    3.709989e-06
       1           23          184         1000    5.089938e-06
       1           24          192         1000    5.081893e-06
       1           25          200         1000    5.117450e-06
       1           26          208         1000    5.111679e-06
       1           27          216         1000    5.350609e-06
       1           28          224         1000    5.288482e-06
       1           29          232         1000    5.321113e-06
       1           30          240         1000    5.297258e-06
       1           31          248         1000    5.309832e-06
       1           32          256         1000    5.330782e-06
       1           33          264         1000    5.361169e-06
       1           34          272         1000    5.338397e-06
       1           35          280         1000    5.345580e-06
       1           36          288         1000    5.379645e-06
       1           37          296         1000    5.437353e-06
       1           38          304         1000    5.480704e-06
       1           39          312         1000    5.420270e-06
       1           40          320         1000    5.408719e-06
       1           41          328         1000    5.453163e-06
       1           42          336         1000    5.432664e-06
       1           43          344         1000    5.457671e-06
       1           44          352         1000    5.472729e-06
       1           45          360         1000    5.543513e-06
       1           46          368         1000    5.517794e-06
       1           47          376         1000    5.558091e-06
       1           48          384         1000    6.028426e-06
       1           49          392         1000    5.538944e-06
       1           50          400         1000    5.516872e-06
       1           51          408         1000    5.529817e-06
       1           52          416         1000    5.699526e-06
       1           53          424         1000    5.491876e-06
       1           54          432         1000    5.492887e-06
       1           55          440         1000    5.572027e-06
       1           56          448         1000    5.541570e-06
       1           57          456         1000    5.488989e-06
       1           58          464         1000    5.476476e-06
       1           59          472         1000    5.496945e-06
       1           60          480         1000    5.526891e-06
       1           61          488         1000    5.586574e-06
       1           62          496         1000    5.715727e-06
       1           64          512         1000    5.520710e-06
       1           66          528         1000    5.519227e-06
       1           68          544         1000    5.534095e-06
       1           70          560         1000    5.569120e-06
       1           72          576         1000    5.566286e-06
       1           74          592         1000    5.647158e-06
       1           76          608         1000    5.658850e-06
       1           78          624         1000    6.092547e-06
       1           80          640         1000    5.694377e-06
       1           82          656         1000    5.751795e-06
       1           84          672         1000    5.727860e-06
       1           86          688         1000    5.800357e-06
       1           88          704         1000    5.784637e-06
       1           90          720         1000    5.852746e-06
       1           92          736         1000    5.882181e-06
       1           94          752         1000    5.868575e-06
       1           96          768         1000    6.255204e-06
       1           98          784         1000    5.884977e-06
       1          100          800          980    5.903324e-06
       1          102          816          961    5.964847e-06
       1          104          832          943    5.963801e-06
       1          106          848          925    6.036150e-06
       1          108          864          909    6.010387e-06
       1          110          880          892    6.030688e-06
       1          112          896          877    6.033943e-06
       1          114          912          862    6.068531e-06
       1          116          928          847    6.118740e-06
       1          118          944          833    6.148630e-06
       1          120          960          819    6.138853e-06
       1          122          976          806    6.171712e-06
       1          124          992          793    6.184096e-06
       1          127         1016          775    6.202769e-06
       1          130         1040          757    6.239403e-06
       1          133         1064          740    6.305635e-06
       1          136         1088          724    6.318713e-06
       1          139         1112          709    6.344604e-06
       1          142         1136          694    6.359732e-06
       1          145         1160          680    6.381507e-06
       1          148         1184          666    6.406874e-06
       1          151         1208          653    6.450913e-06
       1          154         1232          641    6.476257e-06
       1          157         1256          628    6.500796e-06
       1          160         1280          617    6.501827e-06
       1          163         1304          606    6.574662e-06
       1          166         1328          595    6.594339e-06
       1          169         1352          584    6.636491e-06
       1          172         1376          574    6.824634e-06
       1          175         1400          564    7.147631e-06
       1          178         1424          555    6.734975e-06
       1          181         1448          546    6.767436e-06
       1          184         1472          537    6.776115e-06
       1          187         1496          529    6.792191e-06
       1          191         1528          518    6.771328e-06
       1          195         1560          507    6.850755e-06
       1          199         1592          497    6.976928e-06
       1          203         1624          487    6.926107e-06
       1          207         1656          478    6.951797e-06
       1          211         1688          469    6.981661e-06
       1          215         1720          460    7.044183e-06
       1          219         1752          452    7.075741e-06
       1          223         1784          444    7.071205e-06
       1          227         1816          436    7.107034e-06
       1          231         1848          429    7.195023e-06
       1          235         1880          421    7.212589e-06
       1          239         1912          414    7.273338e-06
       1          243         1944          408    7.285172e-06
       1          247         1976          401    7.350529e-06
